,R1
1700.0,9
1931.0,9
2165.0,9
1161.0,9
2062.0,9
1005.0,9
2329.0,9
3184.0,9
1911.0,9
3253.0,9
1506.0,9
2430.0,9
2459.0,9
2688.0,9
2041.0,9
1844.0,9
1393.0,9
3025.0,9
2859.0,9
3016.0,9
1513.0,9
2580.0,9
2155.0,9
2151.0,9
2822.0,9
1786.0,9
1196.0,9
3719.0,9
3582.0,9
3047.0,9
2620.0,9
1896.0,9
1971.0,9
3149.0,9
2788.0,9
1888.0,9
2034.0,9
2753.0,9
2221.0,9
3014.0,9
2803.0,9
1499.0,9
1792.0,9
2898.0,9
1092.0,9
1094.0,9
776.0,9
1037.0,9
1360.0,9
3094.0,9
1299.0,9
3132.0,9
2593.0,9
1285.0,9
1516.0,9
3111.0,9
1991.0,9
2210.0,9
1889.0,9
2025.0,9
2622.0,9
2949.0,9
1998.0,9
2089.0,9
1267.0,9
1172.0,9
1822.0,9
1219.0,9
2896.0,9
1980.0,9
2749.0,9
2303.0,9
2829.0,9
1898.0,9
2833.0,9
1243.0,9
1344.0,9
3002.0,9
1284.0,9
2870.0,9
3140.0,9
1292.0,9
3307.0,9
1040.0,9
